Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmen;Gültige Stimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Nationaldemokratische Partei Deutschlands;Freie Demokratische Partei;Familien-Partei Deutschlands;PARTEI MENSCH UMWELT TIERSCHUTZ;Piratenpartei Deutschland;FREIE WÄHLER;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Ab jetzt...Demokratie durch Volksabstimmung Politik für die;Deutsche Kommunistische Partei;Ökologisch-Demokratische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Bayernpartei;Aktion Partei für Tierschutz – DAS ORIGINAL;Allianz für Menschenrechte, Tier- und Naturschutz;Bündnis C - Christen für Deutschland;Bündnis für Innovation & Gerechtigkeit;Bündnis Grundeinkommen Die Grundeinkommenspartei;Demokratie DIREKT!;Demokratie in Europa - DiEM25;DER DRITTE WEG;Die Grauen – Für alle Generationen;DIE RECHTE – Partei für Volksabstimmung, Souveränität u;Die Violetten;Europäische Partei LIEBE;Feministische Partei DIE FRAUEN;Graue Panther;LKR Bernd Lucke und die Liberal-Konservativen Reformer;Menschliche Welt für das Wohl und Glücklichsein aller;Neue Liberale – Die Sozialliberalen;Ökologische Linke;Partei der Humanisten;PARTEI FÜR DIE TIERE DEUTSCHLAND;Partei für Gesundheitsforschung;Volt Deutschland
9067;Potsdam Briefwahlbezirk 9067;0;0;0;424;424;2;422;107;46;80;40;59;1;14;8;11;3;6;12;1;2;3;1;0;0;3;3;0;0;2;0;1;1;1;0;0;0;2;1;1;1;1;0;0;3;3;5
2202;Jägervorstadt - Am Weinberg/Ulanenweg;924;272;1196;619;1;2;617;112;95;55;56;188;1;25;3;14;6;2;28;1;3;4;0;0;0;0;1;0;1;0;1;5;0;1;0;1;2;1;1;1;0;0;2;0;0;0;7
9072;Potsdam Briefwahlbezirk 9072;0;0;0;754;754;1;753;199;78;182;76;93;3;18;16;11;6;6;20;3;5;1;1;0;0;2;3;0;1;2;1;4;3;3;1;1;0;3;2;1;0;1;0;0;1;4;2
2302;Berliner Vorstadt - Schiffbauergasse;735;284;1019;533;2;4;529;87;97;48;41;142;0;40;4;7;3;5;28;0;0;2;0;0;1;1;0;0;0;2;1;8;0;0;0;1;0;0;0;0;1;1;2;0;1;0;6
9073;Potsdam Briefwahlbezirk 9073;0;0;0;477;477;5;472;103;60;102;69;52;0;16;5;2;4;5;23;0;0;1;0;0;0;2;0;0;0;3;2;5;0;3;0;1;0;5;2;0;1;0;0;2;1;2;1
3108;Brandenburger Vorstadt - Hans-Sachs-Str.;885;221;1106;677;0;1;676;90;41;96;42;262;0;17;2;13;2;5;54;0;0;14;0;0;0;2;0;0;0;3;0;10;0;1;0;1;0;1;0;0;0;0;3;1;1;1;14
9074;Potsdam Briefwahlbezirk 9074;0;0;0;449;449;1;448;102;57;90;47;52;2;20;12;10;2;1;17;1;2;2;1;0;0;1;3;0;0;0;1;7;0;2;0;0;1;3;1;2;2;0;0;1;2;1;3
3204;Potsdam West - Knobelsdorffstr.;1043;221;1264;558;0;8;550;107;45;136;59;84;1;9;3;18;6;3;33;2;2;2;0;0;0;1;0;1;0;0;3;6;1;2;0;1;2;3;1;2;0;0;3;0;5;1;8
4103;Innenstadt - Hans-Thoma-Str./Türckstr.;805;288;1093;475;3;8;467;54;36;63;25;151;0;18;1;12;4;0;58;1;1;8;0;0;0;2;1;0;0;2;1;4;0;0;0;0;3;3;1;0;0;0;2;0;1;2;13
4105;Innenstadt - Yorckstr.;958;222;1180;606;6;3;603;76;65;78;50;176;0;24;8;14;3;4;48;2;1;7;0;0;0;1;1;0;0;3;0;14;0;2;0;1;0;1;0;1;0;0;9;2;2;0;10
4108;Innenstadt - Brandenburger Str. Nord;905;240;1145;628;0;1;627;69;66;67;44;209;1;26;7;17;5;3;61;2;5;9;0;0;0;0;0;1;0;1;0;12;0;0;0;0;1;2;1;0;1;0;3;0;1;0;13
4201;Zentrum Ost - Humboldtring/Babelsb. Str.;878;208;1086;481;1;7;474;90;37;77;53;114;0;17;6;20;2;4;24;0;3;1;1;0;1;0;1;1;0;1;0;2;0;2;0;1;0;0;4;0;0;1;0;1;2;0;8
4203;Zentrum Ost - Lotte-Pulewka-Str.;887;142;1029;430;1;9;421;91;35;103;55;62;0;8;8;6;11;4;17;1;1;3;0;0;0;0;2;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;3;3;3
4205;Südliche Innenstadt - Hauptbahnhof;1185;389;1574;583;6;1;582;84;45;82;34;190;1;24;5;18;8;4;44;1;1;6;0;1;0;2;0;1;0;1;1;7;1;1;1;1;0;0;1;0;0;0;0;3;0;0;14
4206;Südliche Innenstadt - Leipziger Str.;328;132;460;216;0;0;216;30;55;14;27;42;0;21;1;4;0;2;10;0;0;1;0;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1
4207;Südliche Innenstadt - Finkenweg;305;79;384;221;0;1;220;24;15;35;20;53;1;4;1;3;1;0;39;1;0;3;0;0;0;4;2;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;3;0;1;0;4
5201;Babelsberg Nord - Klein Glienicke;710;229;939;492;1;2;490;72;58;40;38;157;0;37;0;11;1;1;30;0;3;4;0;0;0;1;0;0;0;0;2;7;0;0;0;2;0;4;2;0;0;0;1;1;1;1;16
5203;Babelsberg Nord - Fontanestr.;904;310;1214;680;1;3;677;104;85;54;49;238;2;46;2;10;0;3;38;0;0;0;3;0;1;1;3;1;0;0;1;8;0;0;0;0;1;0;1;0;0;0;9;0;3;1;13
5206;Babelsberg Nord - Alt Nowawes West;802;242;1044;540;3;3;537;77;50;93;40;169;0;9;7;7;6;2;44;2;3;6;0;0;0;0;2;0;0;1;0;3;0;0;0;1;1;0;1;0;2;0;2;1;3;2;3
5207;Babelsberg Nord - Rathaus/Humboldtbrücke;949;223;1172;578;1;2;576;76;55;77;43;203;0;17;4;6;7;2;51;2;1;2;0;0;0;0;3;0;0;0;1;4;0;1;1;1;2;2;1;0;1;0;1;1;3;1;7
5208;Babelsberg Nord - Goetheplatz;883;221;1104;649;3;3;646;92;83;68;51;228;1;21;7;8;3;1;35;1;0;7;0;0;0;3;3;0;1;2;2;5;0;4;0;2;0;1;2;1;2;1;2;0;1;1;7
5303;Babelsberg Süd - Benzstr./Pestalozzistr.;931;194;1125;590;1;4;586;101;69;90;50;150;1;21;6;15;4;1;39;2;3;8;1;0;1;2;0;1;0;3;0;4;0;1;0;1;1;2;0;1;2;0;1;1;1;0;3
5305;Babelsberg Süd - Dianastr./Sandscholle;1025;255;1280;591;6;4;587;105;70;102;75;126;3;15;4;16;4;2;30;0;1;4;0;0;0;1;4;0;0;1;0;6;1;3;0;0;0;2;0;1;2;0;1;1;0;2;5
6305;Schlaatz - Inselhof/Bisamkiez;688;75;763;250;3;4;246;27;18;55;55;38;2;9;5;2;0;0;14;0;3;3;0;0;0;0;1;0;0;0;0;3;1;1;0;1;1;0;0;0;0;0;2;1;2;1;1
6503;Waldstadt II - Kiefernring/Sonnentaustr.;834;163;997;378;0;4;374;54;33;76;74;46;0;7;9;6;5;5;16;1;4;0;1;1;1;3;3;0;0;1;0;5;3;1;0;1;1;0;4;0;2;0;0;1;5;2;3
