Nr;Wahlkreis;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmzettel;Gültige Stimmen;DIE LINKE;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;BÜNDNIS 90/DIE GRÜNEN;DIE aNDERE;Bürgerbündnis freier Wähler e.V.;Alternative für Deutschland;Freie Demokratische Partei;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Charnow;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
9066;5;Potsdam Briefwahlbezirk 9066;0;0;0;362;362;5;1071;266;250;130;118;80;55;115;31;26;0;0
9069;5;Potsdam Briefwahlbezirk 9069;0;0;0;457;457;3;1358;399;283;122;133;109;45;199;51;17;0;0
7101;6;Stern - Musikerviertel;1093;279;1372;656;1;6;1931;512;356;253;335;102;30;224;105;6;8;0
7104;6;Stern - In der Aue/Gluckstr.;1117;220;1337;626;2;9;1812;615;336;180;212;111;41;234;50;23;10;0
7105;6;Stern - Parforceheide;986;209;1195;522;2;5;1546;386;262;163;284;92;40;230;65;6;18;0
7202;6;Drewitz - Sterncenter/Erich-Pommer-Str.;974;100;1074;407;0;9;1168;367;252;144;130;51;28;142;35;11;8;0
7204;6;Drewitz - Conrad-Veidt-Str.;788;54;842;280;0;10;796;262;116;57;94;40;18;186;10;10;3;0
7205;6;Drewitz - Willy-A.-Kleinau-Weg;678;80;758;224;0;6;646;169;149;45;71;21;13;142;20;3;13;0
7206;6;Drewitz - Gerlachstr/E-v-Winterstein-Str;705;56;761;227;0;4;666;163;114;45;72;53;37;144;22;11;5;0
7301;6;Kirchsteigfeld - Eleonore-Prochaska-Str.;895;144;1039;440;0;7;1284;316;288;127;190;89;63;160;41;7;3;0
7303;6;Kirchsteigfeld - Zum Teich/Schinkelstr.;989;149;1138;587;0;11;1706;426;469;239;200;51;45;201;69;4;2;0
