Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Direktstimmen ungueltige (C);Direktstimmen gueltige (D);D1;D2;D3;D4;D5;D6;D8;D9;D11;D12;D14;D15;D19;D20;D21;D22;D23;Listenstimmen ungueltige (E);Listenstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Column 57
120540000000;Potsdam, Stadt;61;1205400000003105;STIMMBEZIRK;Brandenburger Vorstadt 05;3105;638;368;270;0;306;304;2;2;0;3;303;21;22;93;38;13;85;7;3;0;1;13;1;4;2;0;0;0;3;303;18;20;78;44;17;95;3;5;5;0;0;0;0;16;0;0;0;0;2;
120540000000;Potsdam, Stadt;61;1205400000003107;STIMMBEZIRK;Brandenburger Vorstadt 07;3107;1538;1098;440;0;805;802;3;3;0;14;791;76;89;360;91;26;93;23;9;3;4;12;1;1;2;0;0;1;12;793;77;93;297;99;43;102;21;22;5;2;0;2;0;16;0;1;3;2;8;
120540000000;Potsdam, Stadt;61;1205400000003202;STIMMBEZIRK;Potsdam West 02;3202;1131;788;343;0;580;577;3;3;0;8;572;57;59;223;75;33;84;7;5;0;5;10;0;4;3;1;3;3;8;572;55;65;180;83;36;98;14;10;6;0;1;2;4;10;1;1;1;0;5;
120540000000;Potsdam, Stadt;61;1205400000003205;STIMMBEZIRK;Potsdam West 05;3205;1212;770;442;0;648;644;4;4;0;6;642;53;39;224;60;50;161;9;4;1;2;22;2;4;7;2;1;1;6;642;59;49;184;71;60;166;11;7;5;0;0;1;0;21;1;2;1;2;2;
120540000000;Potsdam, Stadt;61;1205400000004101;STIMMBEZIRK;Historische Innenstadt 01;4101;1188;713;475;0;590;588;2;2;0;3;587;80;29;168;50;45;166;16;5;1;1;16;1;3;5;1;0;0;6;584;90;36;104;65;62;183;8;11;2;0;1;1;0;14;0;1;2;2;2;
120540000000;Potsdam, Stadt;61;1205400000004109;STIMMBEZIRK;Historische Innenstadt 09;4109;1208;718;490;0;531;527;4;4;0;9;522;40;50;198;50;42;105;8;5;1;1;7;1;3;3;2;1;5;11;520;41;54;156;64;48;111;12;11;5;1;1;1;2;5;0;4;1;1;2;
120540000000;Potsdam, Stadt;61;1205400000005204;STIMMBEZIRK;Babelsberg Nord 04;5204;1146;703;443;0;616;609;7;7;0;2;614;69;45;170;42;51;199;9;6;0;1;7;1;5;8;0;0;1;2;614;73;53;125;65;56;201;5;9;3;0;1;1;0;11;1;1;0;3;6;
120540000000;Potsdam, Stadt;61;1205400000005207;STIMMBEZIRK;Babelsberg Nord 07;5207;1172;753;419;0;553;547;6;6;0;4;549;46;32;165;61;43;149;13;4;3;9;9;1;9;5;0;0;0;5;548;52;34;113;65;55;167;20;13;4;0;2;4;0;9;1;4;1;0;4;
120540000000;Potsdam, Stadt;61;1205400000005304;STIMMBEZIRK;Babelsberg Süd 04;5304;1354;801;553;0;645;640;5;5;0;7;638;65;47;262;58;36;126;11;5;2;2;12;2;4;3;1;1;1;10;635;73;56;211;77;41;124;16;9;7;1;2;1;1;10;1;1;1;1;2;
120540000000;Potsdam, Stadt;61;1205400000006201;STIMMBEZIRK;Teltower Vorstadt 01;6201;1244;757;487;0;587;584;3;3;0;5;582;48;53;188;58;50;124;18;9;3;4;13;3;4;4;0;0;3;5;582;57;50;160;69;45;131;14;16;8;2;3;1;0;12;2;3;1;3;5;
